Timestamp,Event
2026-05-29 11:21:19 PM,Vehicle Detected
2026-05-29 11:21:44 PM,Vehicle Detected
2026-05-29 11:22:11 PM,Vehicle Detected
2026-05-29 11:22:15 PM,Vehicle Detected
2026-05-29 11:22:17 PM,Vehicle Detected
2026-05-29 11:22:27 PM,Vehicle Detected
2026-05-29 11:23:18 PM,Vehicle Detected
2026-05-29 11:23:20 PM,Vehicle Detected
2026-05-29 11:23:37 PM,Vehicle Detected
2026-05-29 11:23:49 PM,Vehicle Detected
2026-05-29 11:26:21 PM,Vehicle Detected
2026-05-29 11:26:23 PM,Vehicle Detected
2026-05-29 11:26:26 PM,Vehicle Detected
2026-05-29 11:26:30 PM,Vehicle Detected
2026-05-29 11:27:17 PM,Vehicle Detected
2026-05-29 11:27:56 PM,Vehicle Detected
2026-05-29 11:28:00 PM,Vehicle Detected
2026-05-29 11:29:15 PM,Vehicle Detected
2026-05-29 11:30:58 PM,Vehicle Detected
2026-05-29 11:33:09 PM,Vehicle Detected
2026-05-29 11:35:11 PM,Vehicle Detected
2026-05-29 11:36:17 PM,Vehicle Detected
2026-05-29 11:36:35 PM,Vehicle Detected
2026-05-29 11:36:37 PM,Vehicle Detected
2026-05-29 11:39:08 PM,Vehicle Detected
2026-05-29 11:39:10 PM,Vehicle Detected
2026-05-29 11:40:07 PM,Vehicle Detected
2026-05-29 11:40:48 PM,Vehicle Detected
2026-05-29 11:41:04 PM,Vehicle Detected
2026-05-29 11:41:07 PM,Vehicle Detected
2026-05-29 11:41:10 PM,Vehicle Detected
2026-05-29 11:41:38 PM,Vehicle Detected
2026-05-29 11:42:19 PM,Vehicle Detected
2026-05-29 11:42:21 PM,Vehicle Detected
2026-05-29 11:43:14 PM,Vehicle Detected
2026-05-29 11:43:17 PM,Vehicle Detected
2026-05-29 11:43:29 PM,Vehicle Detected
2026-05-29 11:43:32 PM,Vehicle Detected
2026-05-29 11:43:45 PM,Vehicle Detected
2026-05-29 11:45:07 PM,Vehicle Detected
2026-05-29 11:45:13 PM,Vehicle Detected
2026-05-29 11:47:26 PM,Vehicle Detected
2026-05-29 11:49:14 PM,Vehicle Detected
2026-05-29 11:49:16 PM,Vehicle Detected
2026-05-29 11:50:41 PM,Vehicle Detected
2026-05-29 11:50:43 PM,Vehicle Detected
